#pub topic_size bss+data stack
1 1 824 1552
1 342 1272 1552
1 683 1952 1552
1 1025 2640 1552
1 1366 3320 1552
1 1707 4000 1552
1 2048 4688 1552
1 2390 5368 1552
1 2731 6048 1552
1 3072 6736 1552
5 1 840 1552
5 342 1288 1552
5 683 1968 1552
5 1025 2656 1552
5 1366 3336 1552
5 1707 4016 1552
5 2048 4704 1552
5 2390 5384 1552
5 2731 6064 1552
5 3072 6752 1552
10 1 864 1552
10 342 1312 1552
10 683 1992 1552
10 1025 2680 1552
10 1366 3360 1552
10 1707 4040 1552
10 2048 4720 1552
10 2390 5408 1552
10 2731 6088 1552
10 3072 6768 1552
20 1 904 1552
20 342 1352 1552
20 683 2032 1552
20 1025 2720 1552
20 1366 3400 1552
20 1707 4080 1552
20 2048 4760 1552
20 2390 5448 1552
20 2731 6128 1552
20 3072 6808 1552
