#pub topic_size bss+data stack
1 1 976 1744
1 51 976 1752
1 101 976 1760
1 151 1072 1752
1 201 1232 1744
1 250 1376 1760
1 300 1520 1760
1 350 1672 1760
1 400 1824 1744
1 450 1976 1744
5 1 992 1756
5 51 992 1744
5 101 992 1744
5 151 1088 1760
5 201 1248 1744
5 250 1392 1744
5 300 1536 1744
5 350 1688 1760
5 400 1840 1756
5 450 1992 1760
10 1 1016 1756
10 51 1016 1768
10 101 1016 1744
10 151 1112 1768
10 201 1264 1756
10 250 1408 1744
10 300 1560 1760
10 350 1712 1744
10 400 1856 1744
10 450 2008 1768
20 1 1056 1756
20 51 1056 1756
20 101 1056 1756
20 151 1152 1768
20 201 1304 1776
20 250 1448 1760
20 300 1600 1768
20 350 1752 1768
20 400 1896 1768
20 450 2048 1756
