#pub topic_size bss+data stack
1 1 1848 1780
1 342 2416 1780
1 683 3096 1904
1 1025 3784 1904
1 1366 4464 1904
1 1707 5144 1904
1 2048 5832 1904
1 2390 6512 1904
1 2731 7192 1904
1 3072 7880 1904
5 1 1864 1780
5 342 2432 1788
5 683 3112 1904
5 1025 3800 1928
5 1366 4480 1904
5 1707 5160 1904
5 2048 5848 1904
5 2390 6528 1904
5 2731 7208 1904
5 3072 7896 1904
10 1 1888 1780
10 342 2456 1792
10 683 3136 1904
10 1025 3824 1904
10 1366 4504 1904
10 1707 5184 1904
10 2048 5864 1904
10 2390 6552 1904
10 2731 7232 1904
10 3072 7912 1912
20 1 1928 1776
20 342 2496 1788
20 683 3176 1904
20 1025 3864 1904
20 1366 4544 1904
20 1707 5224 1904
20 2048 5904 1904
20 2390 6592 1904
20 2731 7272 1904
20 3072 7952 1936
