#pub topic_size bss+data stack
1 1 2352 1780
1 342 2352 1780
1 683 3344 1904
1 1025 4032 1904
1 1366 4712 1904
1 1707 5392 1928
1 2048 6080 1904
1 2390 6760 1904
1 2731 7440 1904
1 3072 8128 1904
5 1 2368 1780
5 342 2368 1788
5 683 3360 1904
5 1025 4048 1904
5 1366 4728 1904
5 1707 5408 1904
5 2048 6096 1904
5 2390 6776 1904
5 2731 7456 1928
5 3072 8144 1904
10 1 2384 1780
10 342 2384 1800
10 683 3384 1904
10 1025 4072 1904
10 1366 4752 1904
10 1707 5432 1904
10 2048 6112 1904
10 2390 6800 1904
10 2731 7480 1904
10 3072 8160 1936
20 1 2424 1776
20 342 2424 1788
20 683 3424 1936
20 1025 4112 1904
20 1366 4792 1904
20 1707 5472 1904
20 2048 6152 1904
20 2390 6840 1904
20 2731 7520 1904
20 3072 8200 1904
